Date,samsung,kospi
2022-01-03,78600,2988.77
2022-01-04,78700,2989.24
2022-01-05,77400,2953.97
2022-01-06,76900,2920.53
2022-01-07,78300,2954.89
2022-01-10,78000,2926.72
2022-01-11,78900,2927.38
2022-01-12,78900,2972.48
2022-01-13,77900,2962.09
2022-01-14,77300,2921.92
2022-01-17,77500,2890.1
2022-01-18,77000,2864.24
2022-01-19,76300,2842.28
2022-01-20,76500,2862.68
2022-01-21,75600,2834.29
2022-01-24,75100,2792
2022-01-25,74000,2720.39
2022-01-26,73300,2709.24
2022-01-27,71300,2614.49
2022-01-28,73300,2663.34
2022-02-03,73300,2707.82
2022-02-04,74000,2750.26
2022-02-07,73000,2745.06
2022-02-08,73500,2746.47
2022-02-09,74700,2768.85
2022-02-10,75400,2771.93
2022-02-11,74900,2747.71
2022-02-14,73700,2704.48
2022-02-15,73700,2676.54
2022-02-16,74800,2729.68
2022-02-17,75000,2744.09
2022-02-18,74300,2744.52
2022-02-21,74200,2743.8
2022-02-22,73400,2706.79
2022-02-23,73000,2719.53
2022-02-24,71500,2648.8
2022-02-25,71900,2676.76
2022-02-28,72100,2699.18
2022-03-02,71700,2703.52
2022-03-03,72900,2747.08
2022-03-04,71500,2713.43
2022-03-07,70100,2651.31
2022-03-08,69500,2622.4
2022-03-10,71200,2680.32
2022-03-11,70000,2661.28
2022-03-14,70200,2645.65
2022-03-15,69500,2621.53
2022-03-16,70400,2659.23
2022-03-17,71200,2694.51
2022-03-18,70700,2707.02
2022-03-21,69900,2686.05
2022-03-22,70300,2710
2022-03-23,70500,2735.05
2022-03-24,69800,2729.66
2022-03-25,69800,2729.98
2022-03-28,69700,2729.56
2022-03-29,70200,2741.07
2022-03-30,69900,2746.74
2022-03-31,69600,2757.65
2022-04-01,69100,2739.85
2022-04-04,69300,2757.9
2022-04-05,69200,2759.2
2022-04-06,68500,2735.03
2022-04-07,68000,2695.86
2022-04-08,67800,2700.39
2022-04-11,67900,2693.1
2022-04-12,67000,2666.76
2022-04-13,68700,2716.49
2022-04-14,67500,2716.71
2022-04-15,66600,2696.06
2022-04-18,66700,2693.21
2022-04-19,67300,2718.89
2022-04-20,67400,2718.69
2022-04-21,67700,2728.21
2022-04-22,67000,2704.71
2022-04-25,66300,2657.13
2022-04-26,66100,2668.31
2022-04-27,65000,2639.06
2022-04-28,64800,2667.49
2022-04-29,67400,2695.05
2022-05-02,67300,2687.45
2022-05-03,67500,2680.46
2022-05-04,67900,2677.57
2022-05-06,66500,2644.51
2022-05-09,66100,2610.81
2022-05-10,65700,2596.56
2022-05-11,65700,2592.27
2022-05-12,64900,2550.08
2022-05-13,66500,2604.24
2022-05-16,66300,2596.58
2022-05-17,67600,2620.44
2022-05-18,68100,2625.98
2022-05-19,67500,2592.34
2022-05-20,68000,2639.29
2022-05-23,67900,2647.38
2022-05-24,66500,2605.87
