IDX,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,AMT_INCOME_TOTAL,AMT_ANNUITY,AMT_CREDIT,DAYS_BIRTH,NAME_EDUCATION_TYPE,OCCUPATION_TYPE,TARGET
1,M,N,N,108000,26149.5,509602.5,-12931,Secondary / secondary special,Drivers,0
2,F,N,N,450000,32521.5,497520,-11146,Secondary / secondary special,Sales staff,0
3,F,N,N,90000,20893.5,199008,-12974,Secondary / secondary special,Laborers,0
4,F,N,Y,135000,32895,1125000,-15997,Higher education,Core staff,0
5,F,N,Y,99000,17338.5,247275,-23920,Secondary / secondary special,,0
6,M,Y,Y,180000,27000,540000,-16126,Higher education,Managers,0
7,F,N,Y,180000,45558,837427.5,-12955,Higher education,Managers,0
8,M,Y,N,180000,21109.5,450000,-10848,Secondary / secondary special,Laborers,0
9,F,N,Y,135000,21775.5,675000,-14264,Higher education,Laborers,0
10,F,N,Y,67500,6750,135000,-18693,Secondary / secondary special,Sales staff,0
11,M,Y,N,225000,13500,270000,-17390,Secondary / secondary special,Drivers,0
12,F,N,Y,360000,41076,733315.5,-23032,Secondary / secondary special,,0
13,M,Y,N,76500,6696,135000,-15137,Secondary / secondary special,Low-skill Laborers,0
14,F,N,N,103500,19737,675000,-23719,Secondary / secondary special,Security staff,0
15,F,N,Y,135000,22099.5,518562,-16142,Secondary / secondary special,Laborers,0
16,M,N,N,157500,21906,675000,-11944,Secondary / secondary special,Laborers,0
17,M,N,Y,292500,36747,675000,-16667,Higher education,Managers,1
18,F,N,Y,90000,13972.5,370629,-16219,Secondary / secondary special,Sales staff,0
19,F,Y,N,450000,43362,407434.5,-16097,Higher education,Core staff,0
20,M,N,N,112500,33309,312682.5,-14311,Secondary / secondary special,,0
21,F,N,Y,157500,12667.5,245619,-17538,Secondary / secondary special,Private service staff,1
22,F,N,Y,117000,13095,269550,-21861,Secondary / secondary special,,0
23,F,N,Y,135000,14440.5,263844,-16807,Incomplete higher,Sales staff,0
24,F,N,N,67500,6597,127350,-22994,Secondary / secondary special,,0
25,F,N,Y,81000,30699,532494,-19525,Secondary / secondary special,,0
26,M,N,Y,315000,83515.5,2250000,-11177,Higher education,Core staff,0
27,F,N,N,67500,9000,180000,-16614,Secondary / secondary special,Core staff,0
28,M,Y,Y,292500,34911,1078200,-21646,Higher education,Drivers,0
29,M,Y,Y,315000,52825.5,824544,-15377,Secondary / secondary special,Laborers,0
30,M,N,Y,180000,16407,254700,-23946,Secondary / secondary special,,0
31,F,N,N,157500,21888,450000,-9907,Secondary / secondary special,Laborers,0
32,F,N,Y,202500,29862,675000,-21185,Secondary / secondary special,,0
33,F,N,Y,157500,35392.5,835380,-20984,Secondary / secondary special,Core staff,0
34,M,Y,N,135000,17059.5,334152,-10427,Secondary / secondary special,Drivers,0
35,F,N,Y,225000,33750,675000,-22794,Secondary / secondary special,,0
36,F,N,Y,157500,15268.5,263686.5,-16098,Secondary / secondary special,Laborers,0
37,F,Y,Y,135000,17716.5,247275,-19997,Secondary / secondary special,,0
38,F,N,Y,382500,30204,450000,-10442,Incomplete higher,Core staff,0
39,M,N,N,90000,10827,101880,-8400,Secondary / secondary special,Laborers,0
40,F,Y,Y,360000,48942,493497,-14882,Higher education,Core staff,0
41,M,Y,Y,765000,67500,1350000,-11788,Higher education,Managers,0
42,F,N,Y,630000,57519,9.00E+05,-15023,Higher education,High skill tech staff,0
43,M,Y,Y,292500,43587,1095817.5,-13299,Secondary / secondary special,Drivers,0
44,M,Y,Y,405000,59485.5,2250000,-14966,Higher education,Core staff,0
45,M,Y,Y,180000,22018.5,450000,-8598,Secondary / secondary special,Core staff,0
46,F,N,Y,202500,25290,598486.5,-11693,Secondary / secondary special,Sales staff,0
47,F,Y,N,112500,23872.5,9.00E+05,-18287,Secondary / secondary special,,0
48,F,Y,Y,225000,39469.5,1345500,-15601,Higher education,,0
49,M,Y,Y,225000,31324.5,509922,-18469,Secondary / secondary special,Laborers,0
50,M,Y,N,270000,40500,810000,-11353,Secondary / secondary special,Security staff,1
51,F,Y,Y,270000,41692.5,1288350,-18651,Higher education,,0
52,F,N,Y,180000,36090,848745,-18344,Secondary / secondary special,,0
53,M,N,Y,270000,28701,265306.5,-15187,Higher education,,0
54,F,N,N,157500,11700,117000,-20792,Secondary / secondary special,,0
55,M,N,Y,121500,19125,382500,-15363,Secondary / secondary special,Laborers,0
56,F,Y,N,225000,51534,478498.5,-15923,Secondary / secondary special,,0
57,F,N,Y,112500,8982,201024,-17275,Secondary / secondary special,Core staff,0
58,F,N,Y,157500,19120.5,238500,-12265,Secondary / secondary special,Laborers,0
59,F,N,N,180000,13387.5,284400,-11653,Secondary / secondary special,,1
60,M,Y,Y,202500,33025.5,1125000,-22503,Secondary / secondary special,,0
61,M,Y,Y,243000,40477.5,631332,-12257,Secondary / secondary special,Security staff,0
62,F,N,Y,135000,13527,167121,-13103,Secondary / secondary special,Sales staff,0
63,F,N,Y,81000,10809,90000,-8454,Incomplete higher,Medicine staff,0
64,F,N,N,90000,22234.5,760500,-17781,Higher education,Managers,0
65,M,N,N,540000,43443,1575000,-15111,Higher education,Managers,0
66,F,N,Y,180000,32125.5,755190,-12893,Higher education,Accountants,1
67,F,Y,Y,112500,13500,270000,-13830,Secondary / secondary special,,0
68,F,N,Y,225000,22018.5,450000,-10230,Incomplete higher,Laborers,0
69,M,N,Y,157500,31464,808650,-13962,Secondary / secondary special,Laborers,0
70,M,Y,N,112500,10606.5,277969.5,-20438,Secondary / secondary special,Laborers,0
71,F,N,Y,112500,24786,813195,-16329,Secondary / secondary special,,0
72,M,Y,N,270000,28962,1098000,-11809,Higher education,Managers,0
73,F,N,N,180000,40387.5,1468719,-21579,Secondary / secondary special,,0
74,M,N,Y,225000,48870,616923,-11653,Higher education,,0
75,M,N,Y,202500,38938.5,485640,-16133,Incomplete higher,,0
76,M,N,N,180000,29353.5,824823,-16532,Secondary / secondary special,Laborers,1
77,F,N,Y,225000,30078,755190,-21264,Secondary / secondary special,Cooking staff,0
78,M,Y,Y,67500,9000,180000,-17796,Secondary / secondary special,Drivers,0
79,M,N,N,306000,72477,2085120,-14206,Secondary / secondary special,Private service staff,0
80,F,N,Y,90000,11506.5,203760,-18840,Secondary / secondary special,Core staff,0
81,F,N,Y,247500,35523,835380,-16851,Secondary / secondary special,Laborers,0
82,F,N,N,157500,20164.5,557770.5,-12106,Secondary / secondary special,Medicine staff,0
83,F,N,Y,157500,22090.5,553806,-20108,Secondary / secondary special,Medicine staff,0
84,F,N,N,67500,20281.5,203760,-21817,Secondary / secondary special,,0
85,M,N,Y,135000,40221,550980,-8087,Secondary / secondary special,,0
86,F,N,N,337500,23931,814041,-15113,Secondary / secondary special,Laborers,0
87,M,N,Y,225000,16276.5,254700,-10582,Higher education,Waiters/barmen staff,0
88,M,Y,Y,112500,24471,832500,-13765,Secondary / secondary special,Drivers,0
89,F,N,N,99000,37669.5,1288350,-11726,Secondary / secondary special,Core staff,0
90,M,Y,Y,270000,22018.5,450000,-14740,Secondary / secondary special,Drivers,0
91,M,N,N,189000,44824.5,1054935,-11700,Secondary / secondary special,Managers,0
92,F,Y,Y,90000,12334.5,225000,-14664,Higher education,,0
93,F,Y,N,135000,26145,787131,-10534,Secondary / secondary special,High skill tech staff,0
94,F,Y,Y,90000,30415.5,1035832.5,-11083,Secondary / secondary special,Sales staff,0
95,F,Y,Y,126000,29475,1008117,-11001,Secondary / secondary special,Sales staff,0
96,M,N,Y,157500,32274,592560,-11574,Secondary / secondary special,Core staff,0
97,F,Y,N,67500,9000,180000,-15928,Secondary / secondary special,Low-skill Laborers,0
98,M,Y,Y,173250,39204,765261,-15787,Secondary / secondary special,Drivers,0
99,F,N,Y,270000,26640,545040,-14562,Secondary / secondary special,Core staff,0
100,F,N,N,103500,37516.5,848745,-21647,Secondary / secondary special,,0
101,F,N,Y,112500,42790.5,1006920,-10265,Secondary / secondary special,High skill tech staff,0
102,M,N,Y,135000,66019.5,1661418,-16745,Secondary / secondary special,Sales staff,0
103,M,N,N,225000,35824.5,9.00E+05,-10467,Secondary / secondary special,Laborers,0
104,F,N,Y,99000,14562,180000,-12676,Secondary / secondary special,Laborers,1
105,M,Y,N,157500,38133,485640,-12021,Secondary / secondary special,,0
106,F,N,Y,225000,12375,247500,-15457,Higher education,Managers,0
107,F,Y,N,112500,9000,180000,-8993,Higher education,Managers,0
108,F,N,N,135000,29164.5,9.00E+05,-9127,Higher education,,0
109,F,Y,Y,135000,6318,225000,-11927,Higher education,Core staff,0
110,M,Y,Y,67500,19417.5,247275,-9166,Secondary / secondary special,Laborers,0
111,F,N,Y,67500,13873.5,239418,-14882,Secondary / secondary special,,0
112,F,N,Y,81000,20191.5,417024,-13616,Secondary / secondary special,Sales staff,0
113,F,N,Y,72000,10935,193500,-23962,Secondary / secondary special,,0
114,F,Y,N,135000,26005.5,701721,-11106,Higher education,,0
115,F,N,Y,135000,23413.5,528633,-21454,Secondary / secondary special,,0
116,M,N,N,169137,25839,675000,-10850,Secondary / secondary special,Sales staff,0
117,F,Y,Y,157500,24399,363190.5,-10866,Higher education,Laborers,0
118,M,N,Y,315000,33993,1024636.5,-18461,Secondary / secondary special,Drivers,0
119,F,N,N,67500,39078,1084383,-18131,Higher education,Core staff,0
120,M,Y,N,225000,51745.5,971280,-19768,Higher education,,0
121,F,N,Y,135000,14287.5,189351,-15126,Incomplete higher,Laborers,0
122,F,N,N,87750,14661,454500,-14441,Secondary / secondary special,Laborers,1
123,M,Y,N,126000,13018.5,425133,-17243,Secondary / secondary special,,0
124,M,Y,N,135000,37606.5,1281672,-12648,Secondary / secondary special,Drivers,0
125,M,N,Y,81000,18103.5,227520,-10022,Secondary / secondary special,Laborers,0
126,M,Y,N,202500,37561.5,1132573.5,-14206,Secondary / secondary special,Drivers,0
127,M,Y,Y,202500,51948,1223010,-22909,Secondary / secondary special,,0
128,M,Y,Y,270000,36643.5,942300,-12775,Secondary / secondary special,Laborers,0
129,F,N,N,157500,20227.5,640080,-16660,Higher education,,0
130,F,N,Y,67500,46399.5,906228,-14321,Secondary / secondary special,Laborers,0
131,F,N,Y,180000,32625,639000,-11867,Secondary / secondary special,,0
132,F,Y,Y,126000,32017.5,9.00E+05,-10629,Secondary / secondary special,Secretaries,0
133,F,N,Y,135000,25947,505642.5,-17277,Secondary / secondary special,Accountants,0
134,M,N,Y,112500,25393.5,864000,-11922,Secondary / secondary special,,1
135,F,N,Y,364500,53995.5,1963494,-14210,Higher education,Managers,0
136,F,N,Y,112500,28408.5,521280,-11559,Secondary / secondary special,Cooking staff,0
137,M,N,N,157500,25195.5,414792,-13609,Secondary / secondary special,Laborers,0
138,F,Y,Y,148500,35739,1005120,-9757,Secondary / secondary special,High skill tech staff,0
139,F,N,N,51750,12798,229230,-21982,Secondary / secondary special,,0
140,M,Y,N,225000,53536.5,450000,-12358,Secondary / secondary special,Laborers,0
141,F,N,Y,112500,8775,107820,-11238,Secondary / secondary special,Sales staff,1
142,F,N,N,90000,24345,754740,-17596,Secondary / secondary special,Cooking staff,0
143,F,N,Y,67500,20295,508495.5,-19418,Secondary / secondary special,Accountants,0
144,M,Y,Y,225000,40063.5,1006920,-12183,Secondary / secondary special,Laborers,0
145,F,Y,Y,157500,9000,180000,-15113,Secondary / secondary special,,0
146,F,N,N,117000,22158,420718.5,-9868,Secondary / secondary special,,0
147,F,N,N,180000,16020,135000,-14153,Secondary / secondary special,Medicine staff,0
148,M,Y,Y,121500,18396,270000,-11795,Secondary / secondary special,Laborers,1
149,F,Y,Y,135000,22018.5,450000,-15308,Secondary / secondary special,Private service staff,1
150,F,N,Y,225000,53455.5,1258650,-20572,Secondary / secondary special,,0
151,F,N,Y,202500,19867.5,675000,-15526,Secondary / secondary special,,0
152,M,N,Y,157500,22338,297040.5,-20579,Secondary / secondary special,,0
153,F,Y,Y,76500,8388,161730,-11755,Secondary / secondary special,Core staff,0
154,F,N,Y,90000,25794,9.00E+05,-11679,Higher education,Sales staff,0
155,F,N,Y,67500,11020.5,140746.5,-17471,Secondary / secondary special,Sales staff,0
156,M,Y,Y,315000,11074.5,225000,-11935,Secondary / secondary special,Managers,0
157,F,N,Y,202500,13500,270000,-10782,Secondary / secondary special,,0
158,F,N,Y,90000,24939,254700,-24612,Higher education,,0
159,M,N,Y,247500,53671.5,677664,-10451,Secondary / secondary special,,0
160,F,N,Y,112500,39064.5,1206954,-14788,Incomplete higher,High skill tech staff,0
161,M,Y,N,90000,34911,1078200,-18079,Higher education,Sales staff,0
162,F,Y,N,153000,30654,1162170,-12975,Higher education,Core staff,0
163,F,N,Y,202500,50494.5,1188765,-18445,Higher education,Accountants,0
164,F,N,N,76500,23931,814041,-21631,Secondary / secondary special,,0
165,F,N,N,112500,17662.5,180000,-15367,Secondary / secondary special,Medicine staff,0
166,F,N,Y,202500,35424,1321020,-22789,Higher education,,0
167,M,Y,N,315000,13500,270000,-15918,Secondary / secondary special,Drivers,0
168,M,Y,N,112500,21253.5,349609.5,-16393,Secondary / secondary special,Laborers,0
169,M,N,Y,67500,9621,148500,-19698,Secondary / secondary special,,0
170,M,Y,Y,121500,21775.5,675000,-13467,Secondary / secondary special,Laborers,0
171,F,Y,Y,180000,69754.5,733315.5,-14447,Higher education,Accountants,0
172,F,N,N,247500,59485.5,2250000,-18966,Higher education,Accountants,0
173,F,N,Y,76500,19003.5,284400,-12589,Secondary / secondary special,Laborers,0
174,M,N,Y,130500,18022.5,292500,-14646,Secondary / secondary special,Drivers,1
175,M,N,N,135000,12748.5,117162,-9108,Secondary / secondary special,Laborers,1
176,F,N,Y,67500,20677.5,545040,-17165,Secondary / secondary special,,0
177,M,Y,Y,135000,28890,450000,-13773,Secondary / secondary special,Laborers,0
178,F,N,N,90000,24786,585000,-19039,Secondary / secondary special,Security staff,0
179,M,N,Y,135000,8082,225000,-16107,Secondary / secondary special,Laborers,0
180,M,Y,Y,157500,18454.5,432567,-10048,Higher education,Sales staff,0
181,F,Y,Y,180000,13950,254799,-15222,Secondary / secondary special,Managers,0
182,M,Y,Y,157500,22977,450000,-16955,Secondary / secondary special,Laborers,0
183,F,Y,Y,360000,29034,9.00E+05,-12526,Higher education,Core staff,0
184,F,N,N,90000,13500,270000,-15378,Secondary / secondary special,,0
185,F,N,Y,157500,42214.5,877500,-18782,Secondary / secondary special,Medicine staff,0
186,M,Y,Y,222750,30465,594121.5,-16944,Higher education,Drivers,0
187,F,N,Y,135000,27000,540000,-22668,Higher education,,0
188,F,N,Y,90000,6750,135000,-16974,Higher education,Managers,0
189,M,Y,Y,135000,29655,407520,-13408,Secondary / secondary special,Laborers,0
190,F,Y,Y,90000,9000,180000,-8132,Secondary / secondary special,Sales staff,0
191,F,N,N,49500,15034.5,225000,-23346,Secondary / secondary special,,0
192,M,Y,Y,234000,37800,1288350,-21329,Secondary / secondary special,,0
193,F,N,Y,270000,38241,792162,-22948,Higher education,Core staff,0
194,F,N,Y,112500,15880.5,284400,-23878,Secondary / secondary special,,0
195,F,N,N,128250,19926,364896,-10441,Secondary / secondary special,Laborers,0
196,F,N,N,108000,32602.5,675000,-14477,Secondary / secondary special,Sales staff,0
197,F,N,N,58500,6997.5,177903,-22645,Secondary / secondary special,,0
198,F,N,N,81000,26833.5,270000,-15058,Secondary / secondary special,,0
199,F,N,Y,90000,26748,259794,-21747,Secondary / secondary special,,0
200,M,N,N,67500,26217,808650,-16557,Secondary / secondary special,Low-skill Laborers,1
201,F,Y,Y,135000,45630,1006920,-14454,Higher education,Managers,0
202,M,Y,Y,171000,42426,1395000,-22921,Higher education,,0
203,F,N,N,90000,21609,665892,-9315,Secondary / secondary special,Sales staff,0
204,M,Y,Y,270000,33277.5,1133748,-17216,Secondary / secondary special,Managers,0
205,M,N,Y,166500,29794.5,438493.5,-13952,Secondary / secondary special,Laborers,0
206,F,Y,Y,144000,38704.5,420588,-8348,Secondary / secondary special,Laborers,0
207,F,Y,N,247500,41679,1575000,-19937,Secondary / secondary special,Accountants,0
208,M,Y,Y,112500,22419,691020,-18145,Secondary / secondary special,Drivers,0
209,F,Y,Y,90000,35491.5,328365,-12270,Higher education,Core staff,0
210,F,N,N,90000,16443,314100,-12621,Lower secondary,,0
211,M,N,N,135000,28827,364896,-8072,Incomplete higher,Laborers,1
212,F,Y,Y,148500,31770,1082214,-18144,Secondary / secondary special,Sales staff,0
213,F,N,Y,202500,31770,1082214,-16150,Secondary / secondary special,,0
214,F,N,Y,225000,31491,614223,-19330,Secondary / secondary special,Core staff,0
215,M,Y,Y,157500,22063.5,404325,-19261,Secondary / secondary special,Laborers,0
216,F,N,Y,225000,11569.5,117000,-15509,Secondary / secondary special,Laborers,0
217,M,N,Y,112500,26145,787131,-11419,Secondary / secondary special,Core staff,0
218,F,N,Y,157500,34650,1260000,-20783,Secondary / secondary special,Medicine staff,0
219,M,N,N,157500,25258.5,450000,-8601,Incomplete higher,Laborers,0
220,F,N,N,117000,11736,178290,-9819,Secondary / secondary special,,0
221,F,N,Y,126000,23773.5,808650,-17113,Secondary / secondary special,,0
222,F,N,Y,157500,51948,1223010,-14173,Secondary / secondary special,Cooking staff,0
223,F,N,N,157500,13500,270000,-10380,Incomplete higher,,0
224,F,N,N,180000,13356,354276,-22336,Secondary / secondary special,,0
225,F,N,Y,69750,10678.5,148365,-15709,Secondary / secondary special,Medicine staff,0
226,F,N,Y,139500,19444.5,512338.5,-14488,Secondary / secondary special,Medicine staff,0
