symbol,name,mktcap,industry
A005930,삼성전자,533698560,제조업
A000660,SK하이닉스,98280319,제조업
A051910,LG화학,69886420,제조업
A035420,NAVER,57327925,제조업
A005380,현대차,55553729,제조업
A006400,삼성SDI,54323979,제조업
A207940,삼성바이오로직스,52270350,제조업
A068270,셀트리온,43334295,제조업
A035720,카카오,41905696,제조업
A000270,기아차,37820400,제조업
A012330,현대모비스,33031506,제조업
A066570,LG전자,29129311,제조업
A028260,삼성물산,27285514,제조업
A096770,SK이노베이션,26491384,제조업
A051900,LG생활건강,26176098,제조업
A034730,SK,24977905,제조업
A005490,POSCO,23060918,제조업
A036570,엔씨소프트,21844252,제조업
A017670,SK텔레콤,21236122,제조업
A003550,LG,19067563,제조업
A105560,KB금융,18337129,은행업
A055550,신한지주,17021955,은행업
A009150,삼성전기,16021798,제조업
A018260,삼성에스디에스,16055894,제조업
A015760,한국전력,15696022,제조업
A032830,삼성생명,15700000,보험업
A090430,아모레퍼시픽,14380789,제조업
A326030,SK바이오팜,11903614,제조업
A033780,KT&G,11203068,제조업
A086790,하나금융지주,10883775,은행업
A251270,넷마블,11164134,제조업
A009830,한화솔루션,8936425,제조업
A003670,포스코케미칼,8538351,제조업
A011170,롯데케미칼,9854183,제조업
A018880,한온시스템,9715160,제조업
A000810,삼성화재,8527471,보험업
A034220,LG디스플레이,8426560,제조업
A010950,S-Oil,8173511,제조업
A010130,고려아연,8085795,제조업
A086280,현대글로비스,8531250,제조업
A009540,한국조선해양,7714270,제조업
A316140,우리금융지주,6875988,은행업
A352820,빅히트,7249435,제조업
A097950,CJ제일제당,7090522,제조업
A006800,미래에셋대우,6395086,증권업
A024110,기업은행,6219554,은행업
A030200,KT,6462517,제조업
A003490,대한항공,5287265,제조업
A004020,현대제철,6005060,제조업
A011780,금호석유,5986901,제조업
A161390,한국타이어앤테크놀로지,5512441,제조업
A021240,코웨이,5453792,제조업
A035250,강원랜드,5434089,제조업
A032640,LG유플러스,5457642,제조업
A019170,신풍제약,5287902,제조업
A008930,한미사이언스,5572822,제조업
A002790,아모레G,5475223,제조업
A000100,유한양행,5094031,제조업
A034020,두산중공업,4963944,제조업
A006280,녹십자,5399181,제조업
A000720,현대건설,5011009,제조업
A139480,이마트,5115213,제조업
A071050,한국금융지주,4909460,은행업
A285130,SK케미칼,4860938,제조업
A271560,오리온,4981553,제조업
A011200,HMM,4721195,제조업
A011070,LG이노텍,4981926,제조업
A011790,SKC,4752471,제조업
A128940,한미약품,4625982,제조업
A010140,삼성중공업,4347000,제조업
A180640,한진칼,4307063,제조업
A267250,현대중공업지주,4281425,제조업
A336260,두산퓨얼셀,4139203,제조업
A000120,CJ대한통운,3923723,제조업
A004990,롯데지주,3813451,제조업
A029780,삼성카드,3742242,여신금융업
A112610,씨에스윈드,2955857,제조업
A016360,삼성증권,3688090,증권업
A204320,만도,3672047,제조업
A078930,GS,3609762,제조업
A003410,쌍용양회,3461515,제조업
A008770,호텔신라,3473459,제조업
A006360,GS건설,3417195,제조업
A039490,키움증권,3491210,증권업
A026960,동서,3285115,제조업
A241560,두산밥캣,3308222,제조업
A012510,더존비즈온,3254045,제조업
A023530,롯데쇼핑,3323929,제조업
A005940,NH투자증권,3334695,증권업
A012750,에스원,3275529,제조업
A036460,한국가스공사,3138642,제조업
A001040,CJ,3151116,제조업
A000990,DB하이텍,3121221,제조업
A047810,한국항공우주,3202057,제조업
A020150,일진머티리얼즈,2960316,제조업
A042660,대우조선해양,3004139,제조업
A003090,대웅,3040826,제조업
A307950,현대오토에버,2940000,제조업
A000210,DL,1151918,제조업
A011210,현대위아,2869081,제조업
A005830,DB손해보험,2870940,보험업
A081660,휠라홀딩스,2861430,제조업
A007070,GS리테일,2806650,제조업
A028670,팬오션,2763724,제조업
A282330,BGF리테일,2687647,제조업
A028050,삼성엔지니어링,2655800,제조업
A047040,대우건설,2618423,제조업
A000880,한화,2593572,제조업
A010060,OCI,2528033,제조업
A088350,한화생명,2614275,보험업
A004170,신세계,2510521,제조업
A000080,하이트진로,2426623,제조업
A006260,LS,2389240,제조업
A185750,종근당,2393768,제조업
A008560,메리츠증권,2433462,증권업
A009240,한샘,2365160,제조업
A064350,현대로템,2308359,제조업
A030000,제일기획,2335337,제조업
A014680,한솔케미칼,2360696,제조업
A005250,녹십자홀딩스,2297328,제조업
A010120,LS ELECTRIC,2082000,제조업
A007310,오뚜기,2137093,제조업
A294870,HDC현대산업개발,2053013,제조업
A012450,한화에어로스페이스,2179622,제조업
A272210,한화시스템,2039262,제조업
A047050,포스코인터내셔널,2017184,제조업
A069960,현대백화점,1965805,제조업
A010620,현대미포조선,1933200,제조업
A002380,KCC,1963910,제조업
A001450,현대해상,1846110,보험업
